Level;High;Low;Ohm;HighPow;LowPow;HighBin;LowBin;HighHex;LowHex;Mask
1;7;8;30,2;127;255;01111111;11111111;0x7F;0xFF;7FFF
2;6;6;39,6;63;63;00111111;00111111;0x3F;0x3F;3F3F
3;3;5;50,0;7;31;00000111;00011111;0x07;0x1F;071F
4;4;4;59,5;15;15;00001111;00001111;0x0F;0x0F;0F0F
5;6;3;70,9;63;7;00111111;00000111;0x3F;0x07;3F07
6;3;3;79,3;7;7;00000111;00000111;0x07;0x07;0707
7;0;3;90,0;0;7;00000000;00000111;0x00;0x07;0007
8;5;2;100,9;31;3;00011111;00000011;0x1F;0x03;1F03
9;3;2;112,3;7;3;00000111;00000011;0x07;0x03;0703
10;2;2;118,9;3;3;00000011;00000011;0x03;0x03;0303
11;8;1;129,8;255;1;11111111;00000001;0xFF;0x01;FF01
12;7;1;138,8;127;1;01111111;00000001;0x7F;0x01;7F01
13;6;1;149,2;63;1;00111111;00000001;0x3F;0x01;3F01
14;5;1;161,2;31;1;00011111;00000001;0x1F;0x01;1F01
15;4;1;175,3;15;1;00001111;00000001;0x0F;0x01;0F01
16;3;1;192,2;7;1;00000111;00000001;0x07;0x01;0701
17;2;1;212,6;3;1;00000011;00000001;0x03;0x01;0301
18;1;1;237,9;1;1;00000001;00000001;0x01;0x01;0101
19;0;1;270,0;0;1;00000000;00000001;0x00;0x01;0001
